"spec462","manyetik Alan bölgesinde seviye atlama"
"spec865","bir savaşta 3 kritik vuruş elde etmek"
"spec463","öğrenme Yayılımı"
"spec465","kadim Gücü öğrenmek"
"spec700","yüksek dostluk ve Fairy tipi bir hareket öğrenmek"
"spec424","çift vuruş öğrenmek"
"spec469","kadim Gücü öğrenmek"
"spec472","gece vakti Razor Fang'i tutmak"
"spec904","güçlü Stilde 20 kez Barb Barrage kullanmak"
"spec461","gece vakti Jilet Pençesin`i tutmak"
"spec901","turba bloğunu aptal bir ayın altında kullanmak"
"spec473","kadim Gücü öğrenmek"
"spec899","çevik Tarzda Psişik kalkan vuruşunu 20 kez kullanma"
"spec106","saldırı > Savunma ile 20. seviyeye ulaşmak"
"spec107","saldırı < Savunma ile 20. seviyeye ulaşmak"
"spec237","saldırı = Savunma ile 20. seviyeye ulaşma"
"spec475","erkek Kirlia üzerinde Şafak Taşı kullanmak"
"spec292","takımda boş bir slot ve çantada bir Pokéball ile 20. seviyeye ulaşmak"
"spec476","manyetik Alan bölgesinde seviye atlama"
"spec478","dişi Snorunt üzerinde Şafak Taşı kullanmak"
"spec413A","dişi Burmy ile 20. seviyeye ulaşmak, çimenlerde"
"spec413B","dişi Burmy ile 20. seviyeye ulaşmak, mağaralarda"
"spec413C","dişi Burmy ile 20. seviyeye ulaşmak, binalarda"
"spec414","erkek Burmy ile 20. seviyeye ulaşmak"
"spec416","dişi Combee ile 21. seviyeye ulaşmak"
"spec185","mimik öğrenmek"
"spec122","mimik öğrenmek"
"spec113","oval Taşını gündüz vakti tutmak"
"spec226","Remoraid'in takımda olması"
"spec902","294 geri tepme hasarı alma"
"spec867","Dusty Bowl yakınında duran"
"spec589","Shelmet ile takas ediliyor"
"spec617","Karrablast ile takas ediliyor"
"spec675","takımda Karanlık tip bir Pokémon ile 32. seviyeye ulaşmak"
"spec678A","Erkek Espurr ile 25. seviyeye ulaşmak"
"spec678B","Dişi Espurr ile 25. seviyeye ulaşmak"
"spec687","Konsolu baş aşağı tutarken 30. seviyeye ulaşma"
"spec706","Yağmur sırasında 50. seviyeye ulaşma"
"spec738","Gök Gürültüsü Taşı kullanarak (veya Manyetik Alan Bölgesinde seviye atlayarak)"
"spec740","Lanakila Dağı'na gidiyor"
"spec745","Alacakaranlıkta 25. seviyeye ulaşmak"
"spec758","Dişi Salandit ile 33. seviyeye ulaşma"
"spec763","Stomp öğrenme"
"spec791","Pokémon'da 53. seviyeye ulaşmak: Güneş/Ultra Güneş"
"spec792","Pokémon'da 53. seviyeye ulaşmak: Ay/Ultra Ay"
"spec804","Dragon Pulse'ı öğrenmek"
"spec809","Pokémon GO'da 400 Meltan Şekeri kullanma"
"spec849A","Güçlendirilmiş bir doğa ile 30. seviyeye ulaşmak"
"spec849B","Düşük Anahtar doğası ile 30. seviyeye ulaşmak"
"spec853","Alay öğrenme"
"spec869","Şeker'i tutarak etrafında dönüyor"
"spec892A","Karanlıklar Kulesi'ni yenmek"
"spec892B","Su Kulesi'ni yenmek"
"ThunderStone","Bir Gök Gürültüsü Taşı"
"IceStone","Bir Buz Taşı"
"MoonStone","Ay Taşı"
"FireStone","Ateş Taşı"
"LeafStone","Bir Yaprak Altı"
"SunStone","Bir Güneş Taşı"
"WaterStone","Bir Su Taşı"
"GalaricaCuff","Bir Galarica Manşet"
"GalaricaWreath","Bir Galarica Çelengi"
"BlackAugurite","Bir Siyah Augurite"
"ShinyStone","Parlak Bir Taş"
"DuskStone","Bir Alacakaranlık Taşı"
"RazorClaw","bir Jilet Pençesi"
"TartApple","bir Tart Elması"
"SweetApple","Tatlı Bir Elma"
"CrackedPot","Çatlak Bir Tencere"
"item","{item} kullanılıyor"
"level","{level} seviyeye ulaşmak"
"Day","gündüz vakti"
"Night","gece saati"
"friend","yüksek dostluğa ulaşmak"
"trade","ticareti yapılıyor"
"tradeItem","elinde {item} tutarken işlem görüyor"
"DeepSeaScale","derin Deniz Ölçeği"
"DeepSeaTooth","bir Derin Deniz Dişi"
"DragonScale","bir Ejderha Pulu"
"DubiousDisc","şüpheli Bir Disk"
"Electrizer","bir Elektrizer"
"KingsRock","bir Kral Kayası"
"Magmarizer","bir Magmarizer"
"MetalCoat","bir Metal Kaplama"
"PrismScale","bir Prizma Ölçeği"
"Protector","bir Koruyucu"
"ReaperCloth","bir Orakçı Bezi"
"Sachet","bir Poşet"
"Upgrade","bir Yükseltme"
"WhippedDream","çırpılmış Bir Rüya"
"spec1000","999 Ghimmigoul sikkesi toplamak"
"spec923","Let's Go modunda 1000 adım yürümek"
"spec947","Let's Go modunda 1000 adım yürümek"
"spec954","Let's Go modunda 1000 adım yürümek"
"spec964","çok oyunculu moddayken 38. seviyeye ulaşma"
"spec979","öfke Yumruğunu 20 kez kullanmak"
"spec981","Twin Beam'i öğrenme"
"spec982","eğilerek Hiper Matkap"
"spec983","Liderin Armasını tutan 3 Bisharp'ı yenmek"
"MaliciousArmor","Kötü Amaçlı Zırh"
"AuspiciousArmor","Uğurlu Zırh"
