"pokeCatch","Tebrikler. {user}, bu Pokemona sahip oldun {pokeName}."
"pokeRarity","Bu **{rarity}** bir Pokémon."
"pokeAlready","Bu Pokémon zaten sahipsin.😕"
"pokeExtraRolls","Pokéballs +{number}."
"rollsHours","{user}, yeni çevirme hakkın {hours} saat {minutes} dakika sonra. \nÇevirmeler :`{number}`."
"rollsMinutes","{user}, yeni Poké topun için {minutes} dakika beklemen gerek. \nSahip olduğun Poké toplarının miktarı :{number}."
"pokeNewForm","Bu Pokémon zaten sahipsin, ama artık yeni özellikleri olana sahipsin!🆕"
"common","Sıradan"
"uncommon","Zor bulunan"
"rare","Nadir"
"superRare","Süper nadir"
"legendary","Efsanevi"
"missingPerms","Bu komutu çalıştırmak için yeterli yetkin bulunmuyor:`{commandName}`.\n Bu komutu çalıştırman için bu yetkiye sahip olan gerek :`{permission}`."
"lackPerms","İstediğiniz komut sizin yetkinize eşit veya daha üstün yetkilere sahip. Bu komut ile yapamazsın:`{commandName}`."
"normal","Normal"
"male","Erkek"
"female","Kadın"
"chooseEvolution","Bir seçeneği seçin"
"description","Açıklama"
"evolution","Geliştirme"
"evolvedBy","Geliştiricim "
"userPokedex","{user}'in Pokédex listesi"
"shinies","Parıltılar✨ : "
"shinyPoke","parlak Pokémonlar"
"noPoke","Pokémonların yok."
"newPrefix","Benim prefix'im bu sunucuda artık`{prefix}` :)"
"banReason","**{guild}** sunucusundan yasaklandın.\nNedeni : `{reason}`."
"banNoReason","**{guild}** sunucusundan yasaklandın.\nSebep belirtilmemiş."
"userBanned","Üye yasaklandı."
"welcomeDisabled","Hoşgeldin mesajı kapalı, etkinleştirmek için `/welcome channel: ...` yaz."
"welcomeChannel","Hoşgeldin mesajı <#{channel}> kanalına yollandı."
"kannaMissPerms","Bunu yapmak için yeterli iznim yok.. Efendim!"
"kannaError","Bir hata oldu, yetkili kişiye bildirildi."
"hugLonely","Yanlız görünüyorsun, sarıl bana!♥️ {user}"
"hugUser","{user}, {otherUser} sana sarıldı♥️"
"userStand","{user}, yeni stand`ın **{standName}**."
"pruneUser","{number} mesaj `{user}` tarafından {guild} kanalından silindi."
"clearMessages","{number} mesaj silindi :D"
"clearMore","Aynı anda 50`den fazla mesaj silemezsiniz."
"kickNoReason","**{guild}** kanalından atıldın.\n Sebebi belirtilmemiş."
"kickReason","**{guild}** kanalından atıldın.\nSebep : `{reason}`."
"userKicked","Üye atıldı."
"isShiny","Bekle!! Bu parlak???✨"
"pokeinfoNotFound","Bulunamadı:("
"pokeinfoNoSuch","Böyle bir Pokémon yok."
"pokeinfoInput","Lütfen Pokémon'un kimliğini veya adını yaz."
"commandBot","Komut sadece kullanıcılar için geçerlidir."
"rollsAvailable","{user}, Pokètopların mevcut.\n Pokètoplarín :`{number}`."
"diceRoll","Zar atıldı! 1 ile {maxNumber} arasından çıkan sonuç **{randomNumber}**!"
"servericon","Bu sunucunun bir simgesi bulunmuyor."
"usericon","Kullanıcının avatarı bulunmuyor."
"noAccess","Üzgünüm, bu kanalda yetkim bulunmuyor."
"newLanguage","Artık, Türkçe konuşacağım!"
"userShiny","{user}`nín parlak Pokémonları"
"page","sayfa{current}/{total}"
"welcome","<@{memberID}> Sunucuya katıldı! Yaşasın!!"
"supportServer","KannaSucre hakkında sorunuz mu var? Bir komutu kullanırken yardıma mı ihtiyacınız var? Sadece en son KannaSucre güncellemelerini görmek mi istiyorsunuz?\n Bu bağlantıyı kullanarak KannaSucre'nin destek sunucusuna katılabilirsiniz: \n"
"channelGuild","Bu kanal bu sunucuda değil!"
"announceAuthor","*{user} tarafından gönderilen mesaj :*\n"
"announceLink","Başarılı!\n Mesaja gitmek için buraya tıklayın :"
"goodbye","{memberName} sunucudan ayrıldı. :("
"prefixNoSpace","Ön ek içinde boşluk karakteri olamaz!"
"togglelevelsEnabled","Seviye özelliği artık etkin!"
"togglelevelsDisabled","Seviye özelliği artık kapalı."
"levelUp","Tebrikler {user}, artık {number} seviyesindesiniz!"
"buttonEvolve","Evrimleşti"
"buttonDevolve","Deviretmek"
"buttonShiny","Parlak"
"buttonOpen","Açık"
"buttonShinies","Parıltılar"
"buttonClose","Kapat"
"pokerank","KannaSucre'nin pokérank'ı :"
"pokerankRanking","Sıralama :"
"pokeForm","{form} formu"
"welcomeRole","Yeni üyelere `@{role}` rolü verilecektir!"
"welcomeNoRole","Yeni üyelere herhangi bir rol verilmeyecektir."
"errorWelcomeRole","Mesaj **{guild}** tarafından :__\n\n Yeni üyelere hoş geldin rolünü vermek için yeterli iznim yok.\n Bu özelliği devre dışı bırakmak istiyorsanız, lütfen **{guild}** üzerinde herhangi bir argüman olmadan `/welcome` özelliğini çalıştırın.\n Özelliğin çalışmasını istiyorsanız, lütfen rolümün `İzinleri düzenle` iznine sahip olduğundan ve rolümün hoş geldin rolünden daha yüksek olduğundan emin olun."
"clearShort","Bazı mesajlar silindi"
"clearDesc","Belirli sayıda mesajı temizleyin (maksimum 50)."
"kickShort","Bir üyeyi attı"
"kickDesc","Belirtilen bir kullanıcıyı atar, bir neden verilebilir veya verilmeyebilir."
"banShort","Bir kullanıcıyı yasakladı"
"banDesc","Belirtilen bir kullanıcıyı yasaklar, bir neden verilebilir veya verilmeyebilir."
"prefixShort","Botun ön ekini değiştirme"
"prefixDesc","Sadece bu sunucu için bot önekini değiştirir. Her türlü önek kullanılabilir (çoklu karakterler bile)."
"hugShort","Birini kucakla!"
"hugDesc","Birine sarıl, işte bu!"
"welcomeShort","Karşılama kanalını/rolünü tanımlar."
"welcomeDesc","Katılım ve ayrılmaların kaydedileceği kanalı ve yeni üyelere verilecek rolü tanımlar"
